gridid,join_count_d,join_count_o,time_sum,lat,lng
121,13,14,719.8166667,30.620182,103.9027863
122,27,22,1317.766667,30.620182,103.9197769
123,8,9,323.1,30.620182,103.9367676
124,26,17,1242.466667,30.620182,103.9537582
125,109,115,4621.1,30.620182,103.9707489
126,213,178,7068.25,30.620182,103.9877472
127,198,221,6821.266667,30.620182,104.0047379
128,216,211,6449.3,30.620182,104.0217285
129,650,624,16258.83333,30.620182,104.0387192
130,966,930,22457.6,30.620182,104.0557098
131,1557,1575,36763.75,30.620182,104.0727081
132,796,897,18565.65,30.620182,104.0896988
133,865,789,20187.11667,30.620182,104.1066895
134,645,624,17664.5,30.620182,104.1236801
135,358,248,9472.8,30.620182,104.1406708
136,348,311,9711.016667,30.620182,104.1576691
137,124,108,3881.266667,30.620182,104.1746597
138,2,0,65.7,30.620182,104.1916504
139,0,0,0,30.620182,104.2086411
140,0,1,0,30.620182,104.2256317
141,5,4,262.1666667,30.6341934,103.9027863
142,12,9,634.9,30.6341934,103.9197769
143,4,4,228.9666667,30.6341934,103.9367676
144,62,56,2535.066667,30.6341934,103.9537582
145,109,123,3977.5,30.6341934,103.9707489
146,290,298,9664.533333,30.6341934,103.9877472
147,406,441,11197.8,30.6341934,104.0047379
148,799,781,21734.15,30.6341934,104.0217285
149,1137,1102,27257.76667,30.6341934,104.0387192
150,1370,1247,29070.83333,30.6341934,104.0557098
151,1623,1830,37812.78333,30.6341934,104.0727081
152,1725,1621,36895.35,30.6341934,104.0896988
153,1277,1250,25108.66667,30.6341934,104.1066895
154,398,560,8576.366667,30.6341934,104.1236801
155,971,1753,24813.13333,30.6341934,104.1406708
156,508,518,12651.98333,30.6341934,104.1576691
157,9,15,237.9666667,30.6341934,104.1746597
158,0,1,0,30.6341934,104.1916504
159,0,3,0,30.6341934,104.2086411
160,1,0,56.93333333,30.6341934,104.2256317
161,1,0,80.81666667,30.6482048,103.9027863
162,6,11,323.65,30.6482048,103.9197769
163,0,3,0,30.6482048,103.9367676
164,28,36,1226.716667,30.6482048,103.9537582
165,160,109,5508.766667,30.6482048,103.9707489
166,420,479,12645.31667,30.6482048,103.9877472
167,693,638,19930.51667,30.6482048,104.0047379
168,1446,1280,33844.33333,30.6482048,104.0217285
169,1566,1366,32893.51667,30.6482048,104.0387192
170,3716,3922,71514.13333,30.6482048,104.0557098
171,6817,7691,139390.4833,30.6482048,104.0727081
172,4909,4693,92407.96667,30.6482048,104.0896988
173,2471,2460,41868.38333,30.6482048,104.1066895
174,2099,1896,36797.2,30.6482048,104.1236801
175,555,535,12243.13333,30.6482048,104.1406708
176,241,250,6280.233333,30.6482048,104.1576691
177,269,198,8260.633333,30.6482048,104.1746597
178,145,170,4918.833333,30.6482048,104.1916504
179,8,10,327.3833333,30.6482048,104.2086411
180,61,41,2687.233333,30.6482048,104.2256317
181,8,5,341.8666667,30.6622143,103.9027863
182,0,2,0,30.6622143,103.9197769
183,1,9,27.78333333,30.6622143,103.9367676
184,11,24,386.9166667,30.6622143,103.9537582
185,260,214,7939.083333,30.6622143,103.9707489
186,531,434,13691.78333,30.6622143,103.9877472
187,796,697,19794.15,30.6622143,104.0047379
188,1091,1099,22638.96667,30.6622143,104.0217285
189,2746,2672,52741.65,30.6622143,104.0387192
190,7404,7222,137203.2667,30.6622143,104.0557098
191,12978,13699,262014.6,30.6622143,104.0727081
192,8146,7559,145950.5333,30.6622143,104.0896988
193,6132,6140,108469.8833,30.6622143,104.1066895
194,2128,2066,36756.46667,30.6622143,104.1236801
195,604,727,12008.03333,30.6622143,104.1406708
196,170,200,4531.166667,30.6622143,104.1576691
197,152,85,4365.7,30.6622143,104.1746597
198,72,57,2431.616667,30.6622143,104.1916504
199,0,0,0,30.6622143,104.2086411
200,12,5,559.7166667,30.6622143,104.2256317
201,12,11,588.4833333,30.6762257,103.9027863
202,22,44,857.95,30.6762257,103.9197769
203,8,6,440.2166667,30.6762257,103.9367676
204,297,407,9169.7,30.6762257,103.9537582
205,579,556,15889.33333,30.6762257,103.9707489
206,591,643,14657.11667,30.6762257,103.9877472
207,1292,1204,30684.43333,30.6762257,104.0047379
208,1491,1548,29626.4,30.6762257,104.0217285
209,3089,3200,58529.88333,30.6762257,104.0387192
210,7401,6996,136253.6667,30.6762257,104.0557098
211,6508,6156,125031.8333,30.6762257,104.0727081
212,5513,5445,98738.38333,30.6762257,104.0896988
213,6447,6178,117441.3167,30.6762257,104.1066895
214,2652,2486,50762.35,30.6762257,104.1236801
215,1160,1241,24096.28333,30.6762257,104.1406708
216,240,233,5860.783333,30.6762257,104.1576691
217,57,105,1565.166667,30.6762257,104.1746597
218,2,8,70.73333333,30.6762257,104.1916504
219,0,1,0,30.6762257,104.2086411
