OID_,lat,lng
201,30.6762257,103.9027863
202,30.6762257,103.9197769
203,30.6762257,103.9367676
204,30.6762257,103.9537582
205,30.6762257,103.9707489
206,30.6762257,103.9877472
207,30.6762257,104.0047379
208,30.6762257,104.0217285
209,30.6762257,104.0387192
210,30.6762257,104.0557098
211,30.6762257,104.0727081
212,30.6762257,104.0896988
213,30.6762257,104.1066895
214,30.6762257,104.1236801
215,30.6762257,104.1406708
216,30.6762257,104.1576691
217,30.6762257,104.1746597
218,30.6762257,104.1916504
219,30.6762257,104.2086411
220,30.6762257,104.2256317
221,30.6902351,103.9027863
222,30.6902351,103.9197769
223,30.6902351,103.9367676
224,30.6902351,103.9537582
225,30.6902351,103.9707489
226,30.6902351,103.9877472
227,30.6902351,104.0047379
228,30.6902351,104.0217285
229,30.6902351,104.0387192
230,30.6902351,104.0557098
231,30.6902351,104.0727081
232,30.6902351,104.0896988
233,30.6902351,104.1066895
234,30.6902351,104.1236801
235,30.6902351,104.1406708
236,30.6902351,104.1576691
237,30.6902351,104.1746597
238,30.6902351,104.1916504
239,30.6902351,104.2086411
240,30.6902351,104.2256317
241,30.7042465,103.9027863
242,30.7042465,103.9197769
243,30.7042465,103.9367676
244,30.7042465,103.9537582
245,30.7042465,103.9707489
246,30.7042465,103.9877472
247,30.7042465,104.0047379
248,30.7042465,104.0217285
249,30.7042465,104.0387192
250,30.7042465,104.0557098
251,30.7042465,104.0727081
252,30.7042465,104.0896988
253,30.7042465,104.1066895
254,30.7042465,104.1236801
255,30.7042465,104.1406708
256,30.7042465,104.1576691
257,30.7042465,104.1746597
258,30.7042465,104.1916504
259,30.7042465,104.2086411
260,30.7042465,104.2256317
261,30.7182579,103.9027863
262,30.7182579,103.9197769
263,30.7182579,103.9367676
264,30.7182579,103.9537582
265,30.7182579,103.9707489
266,30.7182579,103.9877472
267,30.7182579,104.0047379
268,30.7182579,104.0217285
269,30.7182579,104.0387192
270,30.7182579,104.0557098
271,30.7182579,104.0727081
272,30.7182579,104.0896988
273,30.7182579,104.1066895
274,30.7182579,104.1236801
275,30.7182579,104.1406708
276,30.7182579,104.1576691
277,30.7182579,104.1746597
278,30.7182579,104.1916504
279,30.7182579,104.2086411
280,30.7182579,104.2256317
281,30.7322674,103.9027863
282,30.7322674,103.9197769
283,30.7322674,103.9367676
284,30.7322674,103.9537582
285,30.7322674,103.9707489
286,30.7322674,103.9877472
287,30.7322674,104.0047379
288,30.7322674,104.0217285
289,30.7322674,104.0387192
290,30.7322674,104.0557098
291,30.7322674,104.0727081
292,30.7322674,104.0896988
293,30.7322674,104.1066895
294,30.7322674,104.1236801
295,30.7322674,104.1406708
296,30.7322674,104.1576691
297,30.7322674,104.1746597
298,30.7322674,104.1916504
299,30.7322674,104.2086411
300,30.7322674,104.2256317
301,30.7462788,103.9027863
302,30.7462788,103.9197769
303,30.7462788,103.9367676
304,30.7462788,103.9537582
305,30.7462788,103.9707489
306,30.7462788,103.9877472
307,30.7462788,104.0047379
308,30.7462788,104.0217285
309,30.7462788,104.0387192
310,30.7462788,104.0557098
311,30.7462788,104.0727081
312,30.7462788,104.0896988
313,30.7462788,104.1066895
314,30.7462788,104.1236801
315,30.7462788,104.1406708
316,30.7462788,104.1576691
317,30.7462788,104.1746597
318,30.7462788,104.1916504
319,30.7462788,104.2086411
320,30.7462788,104.2256317
321,30.7602882,103.9027863
322,30.7602882,103.9197769
323,30.7602882,103.9367676
324,30.7602882,103.9537582
325,30.7602882,103.9707489
326,30.7602882,103.9877472
327,30.7602882,104.0047379
328,30.7602882,104.0217285
329,30.7602882,104.0387192
330,30.7602882,104.0557098
331,30.7602882,104.0727081
332,30.7602882,104.0896988
