LGTD,LTTD,VENDER,CREATETIME,STLC,Z,text
119.285033656,26.0625668935,三鑫隆,2019-03-10 11:48:31,台江区东南眼科（二环路两侧）,0.0,东南眼科（二环路两侧）
119.308380078,26.0661442919,三鑫隆,2019-03-10 11:48:31,台江区汽车南站,0.0,汽车南站
119.294535465,26.1115927865,三鑫隆,2019-03-10 11:48:31,鼓楼区二环路华屏路口,0.0,二环路华屏路口
119.301942845,26.1118388886,三鑫隆,2019-03-10 11:48:31,鼓楼区北二环（晋安河-五四路）,0.0,北二环（晋安河-五四路）
119.366132661,26.063391241,三鑫隆,2019-03-10 11:48:31,晋安区福马路与铁路口下穿,0.0,福马路与铁路口下穿
119.282405024,26.108642094,三鑫隆,2019-03-10 11:48:31,鼓楼区屏西路中间路段,0.0,屏西路中间路段
119.31518606,26.1458243409,三鑫隆,2019-03-10 11:48:31,晋安区满洋路2 Y4000610145,0.0,满洋路2 Y4000610145
119.332715395,26.0917123081,三鑫隆,2019-03-10 11:48:31,晋安区化工路YS3373340035,0.0,化工路YS3373340035
119.272060493,26.0835229208,三鑫隆,2019-03-10 11:48:31,鼓楼区杨桥中路YS3133390013,0.0,杨桥中路YS3133390013
119.309486057,26.0602914716,三鑫隆,2019-03-10 11:48:31,台江区五一南路YS3283520019,0.0,五一南路YS3283520019
119.292876078,26.0614706953,三鑫隆,2019-03-10 11:48:31,台江区白马南路YS3213510030,0.0,白马南路YS3213510030
119.306010162,26.0723927353,三鑫隆,2019-03-10 11:48:31,台江区群众路YS3263450023,0.0,群众路YS3263450023
119.3325238,26.0299262819,三鑫隆,2019-03-10 11:48:31,仓山区连江南路（金色康城）,0.0,连江南路（金色康城）
119.30874606,26.1326200659,三鑫隆,2019-03-10 11:48:31,晋安区南平东路YS3283120039,0.0,南平东路YS3283120039
119.305432413,26.0902467076,三鑫隆,2019-03-10 11:48:31,鼓楼区东大路YS3263350063,0.0,东大路YS3263350063
119.321521677,26.0683653848,三鑫隆,2019-03-10 11:48:31,晋安区国货东路YS3333470075,0.0,国货东路YS3333470075
119.347714003,26.0751287374,三鑫隆,2019-03-10 11:48:31,晋安区福马路YS3433440053,0.0,福马路YS3433440053
119.275487637,26.1007893226,三鑫隆,2019-03-10 11:48:31,鼓楼区二环路荣誉酒店门口,0.0,二环路荣誉酒店门口
119.299570271,26.1010022568,三鑫隆,2019-03-10 11:48:31,鼓楼区营迹路,0.0,营迹路
119.275777878,26.024850401,三鑫隆,2019-03-10 11:48:31,仓山区奥体周边道路（盘屿路、纵一路）2#（奥体路）,0.0,奥体周边道路（盘屿路、纵一路）2#（奥体路）
119.312070576,26.1106930321,三鑫隆,2019-03-10 11:48:31,晋安区五四路中央商务区华林路YS3293240001,0.0,五四路中央商务区华林路YS3293240001
119.257848887,26.044890438,三鑫隆,2019-03-10 11:48:31,仓山区金洲南路（卢滨路南北两侧）,0.0,金洲南路（卢滨路南北两侧）
119.312046108,26.0965099344,三鑫隆,2019-03-10 11:48:31,晋安区金鸡山路YS3293320045,0.0,金鸡山路YS3293320045
119.287791425,26.0266221597,三鑫隆,2019-03-10 11:48:31,仓山区双湖高架桥下,0.0,双湖高架桥下
119.315125373,26.0747286952,三鑫隆,2019-03-10 11:48:31,晋安区六一中路YS3303440046,0.0,六一中路YS3303440046
119.357686966,26.0862664757,三鑫隆,2019-03-10 11:48:31,晋安区福兴大道YS3473370008,0.0,福兴大道YS3473370008
119.275437782,26.0759107744,三鑫隆,2019-03-10 11:48:31,鼓楼区工业路YS3143430008,0.0,工业路YS3143430008
119.359452331,26.0767587643,三鑫隆,2019-03-10 11:48:31,晋安区福兴大道YS3483430023,0.0,福兴大道YS3483430023
119.311573183,26.105861623,三鑫隆,2019-03-10 11:48:31,晋安区六一北路,0.0,六一北路
119.309354948,26.0669748405,三鑫隆,2019-03-10 11:48:31,台江区国货西路YS3283480003,0.0,国货西路YS3283480003
119.269105527,26.0818219584,三鑫隆,2019-03-10 11:48:31,鼓楼区杨桥路与工业路交叉口,0.0,杨桥路与工业路交叉口
119.297922715,26.0893115767,三鑫隆,2019-03-10 11:48:31,鼓楼区东街三牧坊天桥ABYS3233360447,0.0,东街三牧坊天桥ABYS3233360447
119.293759349,26.0905243798,三鑫隆,2019-03-10 11:48:31,鼓楼区八一七中路与省府路交叉口,0.0,八一七中路与省府路交叉口
119.314001184,26.1108944216,三鑫隆,2019-03-10 11:48:31,晋安区北环东路YS3303240055,0.0,北环东路YS3303240055
119.315022114,26.1458127367,三鑫隆,2019-03-10 11:48:31,晋安区满洋路1 Y4000610148,0.0,满洋路1 Y4000610148
119.317024902,26.0700439602,三鑫隆,2019-03-10 11:48:31,晋安区六一中路YS3313460009,0.0,六一中路YS3313460009
119.308693122,26.1124732241,三鑫隆,2019-03-10 11:48:31,晋安区北环中路YS3283230069,0.0,北环中路YS3283230069
119.318850633,26.0657226123,三鑫隆,2019-03-10 11:48:31,晋安区晋安南路YS3323490056,0.0,晋安南路YS3323490056
119.241098668,26.084276008,三鑫隆,2019-03-10 11:48:31,鼓楼区三八路东站试点,0.0,三八路东站试点
119.320801559,26.0685633053,三鑫隆,2019-03-10 11:48:31,晋安区国货东路YS3323470072,0.0,国货东路YS3323470072
119.354873477,26.0747933384,三鑫隆,2019-03-10 11:48:31,晋安区福光路YS3463440020,0.0,福光路YS3463440020
119.327338385,26.1024603674,三鑫隆,2019-03-10 11:48:31,晋安区三八路东站,0.0,三八路东站
119.306787936,26.0560858837,三鑫隆,2019-03-10 11:48:31,台江区新玉环路YS3273540146,0.0,新玉环路YS3273540146
119.308393254,26.0558435102,三鑫隆,2019-03-10 11:48:31,台江区达江路YS3273540056,0.0,达江路YS3273540056
119.350944103,26.0736340094,三鑫隆,2019-03-10 11:48:31,晋安区浦乾路YS3443440012,0.0,浦乾路YS3443440012
119.287891613,26.0635720322,三鑫隆,2019-03-10 11:48:31,台江区宁化路YS3193500096,0.0,宁化路YS3193500096
